name_original,name_corrected,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Comment
Pyridoxamine,Pyridoxamine,Pyridoxamine,HMDB0001431,1052,16410,C00534,238,CC1=C(O)C(CN)=C(CO)C=N1,1
Pyridoxic acid,Pyridoxic acid,4-Pyridoxic acid,HMDB0000017,6723,17405,C00847,239,CC1=NC=C(CO)C(C(O)=O)=C1O,1
Pyridoxine,Pyridoxine,Pyridoxine,HMDB0000239,1054,16709,C00314,5245,CC1=C(O)C(CO)=C(CO)C=N1,1
Pyruvic acid,Pyruvic acid,Pyruvic acid,HMDB0000243,1060,32816,C00022,117,CC(=O)C(=O)O,1
Quinic acid,Quinic acid,Quinic acid,HMDB0003072,6508,17521,C00296,3329,O[C@@H]1C[C@@](O)(C[C@@H](O)[C@H]1O)C(O)=O,1
Quinolinediol,Quinolinediol,NA,M16,97250,NA,NA,NA,NA,0
Riboflavin,Riboflavin,Riboflavin,HMDB0000244,493570,17015,C00255,5249,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,1
Ribonic acid gamma lactone,Ribonic acid gamma lactone,NA,M17,111064,NA,NA,NA,NA,0
Ribose 5-phosphate,Ribose 5-phosphate,D-Ribose 5-phosphate,HMDB0001548,440101,52742,C00117,6315,O[C@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,1
S-Adenosyl-homocysteine,S-Adenosyl-homocysteine,S-Adenosylhomocysteine,HMDB0000939,439155,16680,C00021,296,N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N)C(O)=O,1
Salicylic acid,Salicylic acid,Salicylic acid,HMDB0001895,338,16914,C00805,616,OC(=O)C1=CC=CC=C1O,1
Sedoheptulose-7-phosphate,Sedoheptulose-7-phosphate,D-Sedoheptulose 7-phosphate,HMDB0001068,92042786,133983,C05382,5980,OC[C@]1(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O,1
Serine,Serine,Serine,HMDB0062263,5951,17822,C00716,5203,N[C@@H](CO)C(O)=O,1
Shikimic acid,Shikimic acid,Shikimic acid,HMDB0003070,8742,16119,C00493,338,O[C@@H]1CC(=C[C@@H](O)[C@H]1O)C(O)=O,1
Succinic acid,Succinic acid,Succinic acid,HMDB0000254,1110,15741,C00042,114,O=C(O)CCC(=O)O,1
Taurine,Taurine,Taurine,HMDB0000251,1123,15891,C00245,31,NCCS(O)(=O)=O,1
Tauro-muriocholic acid ,Tauro-muriocholic acid,NA,M18,145714662,NA,NA,NA,NA,0
Taurocholic acid,Taurocholic acid,Taurocholic acid,HMDB0000036,6675,28865,C05122,5104,CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C1([C@H](CC3C2[C@@H](C[C@H]4C3(CC[C@H](C4)O)C)O)O)C,1
Thiamine,Thiamine,Thiamine,HMDB0000235,1130,18385,C00378,5242,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,1
Threonine,Threonine,L-Threonine,HMDB0000167,6288,16857,C00188,32,C[C@@H](O)[C@H](N)C(O)=O,1
Thymidine,Thymidine,Thymidine,HMDB0000273,5789,17748,C00214,3375,CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O,1
Thymine,Thymine,Thymine,HMDB0000262,1135,17821,C00178,290,CC1=CNC(=O)NC1=O,1
Tryptophan,Tryptophan,L-Tryptophan,HMDB0000929,6305,16828,C00078,5879,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,1
Tyrosine,Tyrosine,L-Tyrosine,HMDB0000158,6057,17895,C00082,34,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,1
Uracil,Uracil,Uracil,HMDB0000300,1174,17568,C00106,258,O=C1NC=CC(=O)N1,1
Uric acid,Uric acid,Uric acid,HMDB0000289,1175,17775,C00366,88,O=C1NC2=C(N1)C(=O)NC(=O)N2,1
Uridine,Uridine,Uridine,HMDB0000296,6029,16704,C00299,90,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O,1
Uridine diphosphohexose,Uridine diphosphohexose,NA,M19,8629,NA,NA,NA,NA,0
Uridine monophosphate,Uridine monophosphate,Uridine 5'-monophosphate,HMDB0000288,6030,16695,C00105,NA,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O,1
Uridine triphosphate,Uridine triphosphate,Uridine triphosphate,HMDB0000285,6133,15713,C00075,5277,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O,1
Valine,Valine,L-Valine,HMDB0000883,6287,16414,C00183,5842,CC(C)[C@H](N)C(O)=O,1
Vanillic acid,Vanillic acid,Vanillic acid,HMDB0000484,8468,30816,C06672,5471,COC1=C(O)C=CC(=C1)C(O)=O,1
Xanthine,Xanthine,Xanthine,HMDB0000292,1188,17712,C00385,82,O=C1NC2=C(NC=N2)C(=O)N1,1
Xanthosine,Xanthosine,Xanthosine,HMDB0000299,64959,18107,C01762,3408,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(O)N=C2O,1
Xanthurenic acid,Xanthurenic acid,Xanthurenic acid,HMDB0000881,5699,10072,C02470,5841,OC(=O)C1=NC2=C(O)C=CC=C2C(O)=C1,1
Xylitol,Xylitol,Xylitol,HMDB0002917,6912,17151,C00379,NA,OC[C@H](O)[C@@H](O)[C@H](O)CO,1
Xylulose 5-phosphate,Xylulose 5-phosphate,Xylulose 5-phosphate,HMDB0000868,439190,16332,C00231,5829,OCC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,1
